flow,seed,corr_proxy_raw,corr_proxy_new,corr_true_raw,corr_true_new,rmse_proxy_raw,rmse_proxy_new,rmse_true_raw,rmse_true_new,mae_proxy_raw,mae_proxy_new,mae_true_raw,mae_true_new,pass_rate,delta_corr_proxy,delta_corr_true,delta_rmse_proxy,delta_rmse_true,delta_mae_proxy,delta_mae_true
Rankine,0,0.2415131242680115,0.9341804668535463,0.2081719113367008,0.9317271922588283,7.988018919091185,0.8305143859356605,8.050452149224677,0.7987056217523175,1.4182673672816895,0.5736493074205902,1.2950595338915443,0.4691371680065737,95.0,0.6926673425855348,0.7235552809221275,7.1575045331555245,7.25174652747236,0.8446180598610993,0.8259223658849706
Rankine,1,0.9112298050332552,0.917791644981092,0.9302289642110364,0.9300929134497243,0.9472994369829216,0.9093404703657111,0.8085965019090401,0.8083712421268565,0.6611984302055033,0.6300710975665694,0.476986242873887,0.4679628219202762,95.0,0.006561839947836767,-0.00013605076131206761,0.03795896661721054,0.00022525978218357334,0.031127332638933858,0.009023420953610806
Rankine,2,0.7221910528192053,0.9386013831392049,0.6754600295014813,0.9265645187280283,1.8434564827161717,0.8338212328442463,1.9780249218910773,0.8329726565594803,0.7127879169853426,0.5816271234911379,0.6111172213116575,0.4942280120394985,95.0,0.21641033031999968,0.25110448922654693,1.0096352498719254,1.1450522653315969,0.13116079349420473,0.11688920927215896
Rankine,3,0.9204296946029149,0.9301026628328651,0.921839179782332,0.9250954718462382,0.9101803748686088,0.863738585039089,0.8580378665488491,0.8397188031759866,0.6504832700011122,0.6198687140944924,0.5547026712134258,0.5271301453759167,95.0,0.00967296822995023,0.0032562920639062076,0.04644178982951985,0.018319063372862487,0.030614555906619767,0.02757252583750902
Rankine,4,0.3768685383421504,0.9441663504492246,0.3015131312859788,0.933635678187614,5.314949710172512,0.770344989125378,5.451486094264306,0.7912514737639559,0.9753499628513534,0.5419949500952709,0.88497624083648,0.4684204179835346,95.0,0.5672978121070742,0.6321225469016352,4.5446047210471345,4.66023462050035,0.43335501275608257,0.41655582285294535
Rankine,5,0.9306237244004399,0.9408086140958619,0.9350866426592007,0.9359222329148157,0.8225021231275311,0.7652778023493839,0.7762476768542118,0.7729227394390348,0.5849555427855996,0.5413115884594798,0.496326834966497,0.4833191012306439,95.0,0.010184889695421973,0.0008355902556149708,0.05722432077814721,0.0033249374151770317,0.04364395432611978,0.013007733735853066
Rankine,6,0.6008766431950503,0.9325719601765746,0.6307460020095738,0.9199103262208013,2.6323811940391315,0.9135266231557214,2.531565288812719,0.8775820828351482,0.8034118519391439,0.6432236052137571,0.6614519405462461,0.5184245979073193,95.0,0.3316953169815243,0.2891643242112275,1.7188545708834102,1.653983205977571,0.16018824672538678,0.1430273426389268
Rankine,7,0.3539367660965347,0.91279497102844,0.31219991973220523,0.9321942055324408,4.417072461497921,0.9281009164863672,4.5402141408609635,0.7904776069813337,0.9059762690933019,0.6601079261802821,0.7527632561035217,0.48848801175211365,95.0,0.5588582049319053,0.6199942858002356,3.4889715450115535,3.74973653387963,0.24586834291301973,0.26427524435140803
Rankine,8,0.26919461794980254,0.9477139340837658,0.24888775286572964,0.9328335160621654,6.340662807792493,0.7634416648120008,6.402407747950966,0.8034366674867925,1.0482841720932123,0.5195873686542648,0.9370391951882981,0.4749947245945682,95.0,0.6785193161339633,0.6839457631964357,5.577221142980493,5.598971080464174,0.5286968034389475,0.46204447059372994
Rankine,9,0.9331181401002858,0.9468611866805742,0.9278898302745072,0.9301784753892658,0.8822117703949907,0.8108430614383306,0.827086313390279,0.8123873339373243,0.6321741165762588,0.5892225900809966,0.504453952370704,0.4835194312029722,95.0,0.013743046580288354,0.0022886451147585696,0.07136870895666003,0.01469897945295473,0.04295152649526213,0.020934521167731812
Rankine,10,0.5909170797649665,0.9195259689336499,0.5610044024962948,0.9350905094522498,2.7884534752240198,0.9329032985147105,2.828126750329083,0.7846108344756579,0.8346013038082014,0.6358171646503956,0.6342500015768965,0.45394656625039237,95.0,0.32860888916868336,0.374086106955955,1.8555501767093092,2.0435159158534253,0.1987841391578058,0.1803034353265041
Rankine,11,0.3218138969854131,0.9415427360003326,0.3827099204178047,0.9277347379299349,5.089761799485682,0.8221230035398202,4.965934301117361,0.8197237472050554,1.101503433285772,0.5884770111956337,0.9732897068437305,0.48069029802515645,95.0,0.6197288390149195,0.5450248175121302,4.267638795945862,4.146210553912306,0.5130264220901384,0.49259940881857406
Rankine,12,0.20974865480248925,0.9290552015897517,0.23335038987507756,0.9319758060646115,7.963258726293538,0.8378280740505742,7.9237681231366945,0.7976555369221393,1.5365678211549263,0.5749491721365454,1.3708066661789429,0.46559946457221346,95.0,0.7193065467872625,0.698625416189534,7.125430652242963,7.126112586214555,0.9616186490183809,0.9052072016067294
Rankine,13,0.2872684227661982,0.9260685481734977,0.30980773061678957,0.9269169529637127,5.951816292468176,0.8567969196380621,5.908198995793781,0.8216768470783651,1.0593567680403444,0.5839549797997622,0.9391123665777521,0.49285374871777476,95.0,0.6388001254072995,0.6171092223469231,5.095019372830114,5.086522148715416,0.4754017882405822,0.44625861785997734
Rankine,14,0.4278640989216941,0.9437627953387546,0.3790399460476462,0.9402034125536227,4.237353430327761,0.7743780521421402,4.332172137644411,0.764148751543196,0.8705797731025062,0.5374281853747492,0.7754402379669282,0.4486208474029829,95.0,0.5158986964170605,0.5611634665059766,3.4629753781856207,3.568023386101215,0.333151587727757,0.32681939056394527
Rankine,15,0.9225246599718647,0.9388508151416423,0.9170150159467587,0.923592328765147,0.9507226397443358,0.8603135265211246,0.8922698411422976,0.855286102195861,0.6593484539986929,0.6010967370599307,0.5028554837939848,0.4904927328114604,95.0,0.016326155169777534,0.006577312818388248,0.09040911322321121,0.036983738946436584,0.05825171693876219,0.012362750982524429
Rankine,16,0.6821735796385199,0.9357361771754352,0.6417806661132809,0.9213340925532876,2.1874823358330078,0.834849601105402,2.2646020621223024,0.8637457667777168,0.7335889402677104,0.5813262456714241,0.6400363755841877,0.5189311097579581,95.0,0.25356259753691535,0.2795534264400067,1.3526327347276057,1.4008562953445858,0.15226269459628627,0.1211052658262296
Rankine,17,0.24322952808528162,0.9340681861577539,0.2354587694444395,0.9143128812604527,6.6207318069034855,0.8697938658915024,6.663989362335339,0.9005834603032258,1.1333900497187932,0.6172109186587971,1.0214552768607545,0.5308897409543267,95.0,0.6908386580724722,0.6788541118160132,5.750937941011983,5.763405902032113,0.5161791310599961,0.4905655359064278
Rankine,18,0.9193552059203752,0.9287153992238032,0.927294443890955,0.9305562868397127,0.9028169010462815,0.846307860890471,0.8231350014822635,0.8064826172422173,0.6475738437154829,0.5984785557474974,0.5221981004220418,0.49373995538957893,95.0,0.009360193303427966,0.003261842948757754,0.056509040155810486,0.016652384240046225,0.04909528796798546,0.02845814503246291
Rankine,19,0.936698230852768,0.941153395130751,0.9379641449058983,0.935249743065031,0.854644805035743,0.8299472117986856,0.7755497661229159,0.7924376193105412,0.5947109240197298,0.5623067396790843,0.4826914421160417,0.4657242622381927,95.0,0.004455164277982981,-0.002714401840867353,0.024697593237057447,-0.016887853187625312,0.032404184340645514,0.016967179877849015
LambOseen,0,0.9516502110232448,0.9556267889054011,0.9718334344389744,0.9758080802021443,0.6705406468821895,0.6399296317172193,2.2711481747710835,2.2720587193225774,0.4726930895581636,0.44193726449773907,1.2068493704133647,1.189078639647023,95.0,0.003976577882156329,0.0039746457631698595,0.030611015164970223,-0.0009105445514938637,0.030755825060424513,0.017770730766341725
LambOseen,1,0.3809974301036855,0.9546980923475333,0.3823551179915996,0.974922029579669,4.500511840687701,0.6473906070723606,4.932599666777236,2.2503364457721564,0.7055380029112704,0.4431225027426937,1.4355572990407706,1.18141095382045,95.0,0.5737006622438479,0.5925669115880694,3.8531212336153406,2.6822632210050794,0.26241550016857673,0.25414634522032054
LambOseen,2,0.9590125497846352,0.9614091849087787,0.9763128795701798,0.9790894249858583,0.605726407421067,0.5849643583248981,2.304648851040504,2.2997660268575615,0.4346624211567535,0.40991080144844194,1.2557494823549202,1.2357592916520568,95.0,0.0023966351241434536,0.0027765454156785108,0.020762049096168855,0.004882824182942613,0.02475161970831158,0.019990190702863453
LambOseen,3,0.33017657525288047,0.9650713765847704,0.34392863344205504,0.9760107835656148,4.593180023565734,0.562305241017457,5.1995753999484595,2.331577040094645,0.6847355714843191,0.4050253747728229,1.5096034775130875,1.2507859023940084,95.0,0.6348948013318899,0.6320821501235597,4.030874782548277,2.8679983598538143,0.27971019671149616,0.2588175751190791
LambOseen,4,0.9570702956724384,0.9624953401699665,0.9706734837831139,0.9763194574286691,0.6623630570222288,0.6287781638282597,2.2547673330213716,2.243610612815092,0.4731293619140992,0.42812788099875315,1.2045767040074027,1.1692352089920224,95.0,0.00542504449752812,0.005645973645555191,0.03358489319396907,0.011156720206279669,0.04500148091534606,0.03534149501538031
LambOseen,5,0.9562760938470152,0.9603873946064141,0.9741102378208427,0.9776433593884168,0.6754160071472619,0.6566730734412548,2.2203773699702922,2.2137672777789517,0.4696646512675766,0.44454543735764357,1.1988668233039088,1.1745663983302395,95.0,0.004111300759398917,0.0035331215675741268,0.018742933706007103,0.006610092191340566,0.025119213909933047,0.024300424973669355
LambOseen,6,0.9590279049775516,0.9645457219288942,0.9652153932163821,0.9705697188277654,0.6876260681370082,0.658566587110075,2.2766016381794056,2.2677099051988105,0.5078626678233065,0.4775517564222839,1.2335398037878231,1.2073263188019778,95.0,0.005517816951342569,0.0053543256113833815,0.02905948102693323,0.00889173298059509,0.030310911401022544,0.026213484985845303
LambOseen,7,0.9628633336157894,0.9671606423770135,0.9767501222215242,0.9812311172607898,0.6283569268995048,0.5920522171830699,2.2565032839850843,2.2592316310465237,0.4551456862601808,0.41571475155963694,1.2162106691945596,1.1937894812210474,95.0,0.004297308761224139,0.004480995039265578,0.03630470971643496,-0.002728347061439429,0.039430934700543874,0.022421187973512113
LambOseen,8,0.957782124071669,0.9649095434730186,0.9714851860163635,0.9767638730987368,0.6113816975345614,0.5711386763293157,2.3092686693808404,2.2995086655609467,0.4206681360035366,0.3766895639430573,1.2215628273611383,1.1838180285072892,95.0,0.007127419401349644,0.0052786870823733345,0.0402430212052457,0.009760003819893726,0.04397857206047928,0.03774479885384907
LambOseen,9,0.9697064141396655,0.9737804311380664,0.9771607906648707,0.9803285987661525,0.5772854545615914,0.5377928590046379,2.236177325697293,2.2448192130303006,0.416247315942545,0.3786670452815879,1.1707902869862739,1.1502131577261618,95.0,0.004074016998400931,0.0031678081012818105,0.0394925955569535,-0.008641887333007414,0.037580270660957094,0.020577129260112015
LambOseen,10,0.9611912258042128,0.9660219377959476,0.9733527895913998,0.9785061540560441,0.6162689346866582,0.5718856549204206,2.296313096152931,2.3002007833044176,0.4480513929022905,0.397095832091435,1.246644683351028,1.2136581350842233,95.0,0.004830711991734793,0.005153364464644317,0.04438327976623757,-0.003887687151486574,0.050955560810855505,0.032986548266804805
LambOseen,11,0.9587319726870537,0.9622201644769584,0.9723317819506452,0.9765501459962012,0.654728538836666,0.6316763690532728,2.2679354425904634,2.264360865825364,0.46122088688286333,0.42963397286279803,1.2095781455437444,1.1886440020003521,95.0,0.003488191789904671,0.004218364045555978,0.023052169783393195,0.003574576765099202,0.031586914020065304,0.020934143543392292
LambOseen,12,0.9612495440483204,0.9698062371277764,0.9701364934940223,0.9771366892089635,0.6568835372914892,0.6123909706781089,2.221579071761768,2.206227223116789,0.4684594701768081,0.42354062871184,1.1792351052567172,1.1400309945035678,95.0,0.008556693079455946,0.007000195714941149,0.0444925666133803,0.015351848644978627,0.04491884146496811,0.039204110753149335
LambOseen,13,0.9577270228254593,0.963098834658411,0.9714937665683588,0.9779385768154086,0.6381084396467812,0.5999014918499033,2.245237165106326,2.239042636363342,0.4550280360681048,0.4212840240006725,1.1966261212382532,1.1766238154643622,95.0,0.005371811832951656,0.0064448102470497926,0.038206947796877944,0.006194528742983874,0.03374401206743233,0.02000230577389095
